,ID,Time,Lane,Class,x,Speed,Acceleration,Mileage
88655,329,159.0,0,2,12.0,58.751999999999605,0.0010560000006165637,2.5370488
88656,340,159.0,2,2,36.0,68.3391600000009,-3.5993760000017767,2.5288885
88657,332,159.0,0,2,12.0,60.041160000000104,0.20011200000077167,2.5087476
88658,338,159.0,3,3,48.0,65.00016000000102,-0.0005280000014806774,2.4049964
88659,337,159.0,0,4,12.0,63.50255999999952,0.00158399999975245,2.3238945
88660,347,159.0,3,3,48.0,65.09808000000064,0.0005279999991254651,2.259527
88661,342,159.0,2,2,36.0,67.90500000000002,0.00158399999975245,2.2204742
88662,349,159.0,3,3,48.0,69.68232000000097,0.7149119999976961,2.201799
88663,343,159.0,2,1,36.0,69.4368000000015,0.09979199999613873,2.1966968
88664,348,159.0,0,2,12.0,63.50363999999935,-0.0005279999967910953,2.1475947
88665,351,159.0,0,4,12.0,65.0520000000009,-0.11616000000214702,2.110305
88666,346,159.0,0,6,12.0,65.96460000000057,0.19799999999954895,2.0962815
88667,341,159.0,1,2,24.0,63.50364000000095,-2.3447910280083306e-12,2.0930085
88668,345,159.0,1,2,24.0,64.93571999999936,0.09979200000080747,2.067984
88669,344,159.0,3,5,48.0,65.00052000000042,-0.00158399999975245,2.0222192
88670,352,159.0,1,1,24.0,68.7528000000002,-0.21120000000138361,2.013741
88671,358,159.0,1,4,24.0,69.23123999999979,-0.10031999999995378,1.9798654
88672,353,159.0,3,2,48.0,65.09772000000042,0.0010559999994389575,1.8993565
88673,354,159.0,3,4,48.0,66.69323999999995,-0.0005280000003134925,1.8794461
88674,355,159.0,0,4,12.0,68.4954000000002,-0.0005280000003134925,1.875238
88675,359,159.0,0,4,12.0,70.0829999999999,0.09979200000080747,1.8648052
88676,360,159.0,1,3,24.0,73.49759999999996,0.0,1.8467032
88677,350,159.0,2,4,36.0,64.99980000000001,0.0005280000003134925,1.8344418
88678,356,159.0,2,2,36.0,64.22436000000049,-0.2645280000008654,1.8060287
88679,361,159.0,0,4,12.0,73.49759999999996,0.0,1.7303411
88680,362,159.0,2,3,36.0,65.00016000000022,-0.0005280000003134925,1.671942
88681,364,159.0,3,2,48.0,70.10100000000001,-0.0005280000003134925,1.6491643
88682,369,159.0,2,2,36.0,68.12783999999982,0.15100800000024417,1.6371663
88683,363,159.0,1,2,24.0,73.49759999999996,-0.0005279999991463076,1.624275
88684,368,159.0,1,2,24.0,74.91780000000023,-0.00052800000029265,1.6015694
88685,366,159.0,0,1,12.0,73.49759999999996,-0.0005280000003134925,1.55289
88686,372,159.0,1,1,24.0,78.50015999999994,0.0005279999991254651,1.4513754
88687,357,159.0,3,2,48.0,55.24631999999991,-0.0005280000003030712,1.4456062
88688,367,159.0,2,2,36.0,67.90536000000023,0.0,1.3867481
88689,370,159.0,0,2,12.0,68.49503999999999,0.0,1.3615247
88690,373,159.0,0,4,12.0,69.44651999999998,0.10031999999995378,1.3470235
88691,365,159.0,3,2,48.0,65.00016000000022,-0.0005280000003134925,1.3343036
88692,371,159.0,3,2,48.0,65.00016000000022,-0.0005280000003134925,1.2711092
88693,374,159.0,3,2,48.0,66.68423999999948,-0.8458559999991166,1.2499332
88694,379,159.0,1,2,24.0,73.49759999999996,0.0,1.2384124
88695,375,159.0,2,2,36.0,64.99980000000001,0.0,1.2331927
88696,376,159.0,2,4,36.0,64.97604000000052,0.0538559999986281,1.1862483
88697,377,159.0,0,1,12.0,68.49503999999999,0.0,1.1558713
88698,383,159.0,1,2,24.0,73.49759999999996,0.0,1.1484485
88699,381,159.0,0,3,12.0,69.96635999999974,-0.1985279999998416,1.1171054
88700,378,159.0,3,2,48.0,65.09807999999984,0.00052800000029265,1.0913483
88701,380,159.0,2,2,36.0,65.00016000000022,-0.0005280000003134925,1.0797206
88702,382,159.0,2,2,36.0,66.60971999999994,0.08184000000088267,1.0499028
88703,387,159.0,2,3,36.0,82.90188,0.0,0.8601295
88704,393,159.0,3,2,48.0,70.10078400000013,-0.000211200000488058,0.80927306
88705,385,159.0,1,3,24.0,73.49767200000032,0.00010559999935821907,0.79742664
88706,384,159.0,3,1,48.0,65.00015999999982,-0.0005279999997299001,0.75111
88707,386,159.0,0,2,12.0,68.49518400000032,-0.000211200000488058,0.7335818
88708,388,159.0,3,4,48.0,66.91680000000018,1.4113439999992599,0.7173737
88709,394,159.0,2,2,36.0,77.89953599999993,-0.00036959999952538664,0.6711505
88710,389,159.0,1,2,24.0,73.49759999999996,0.000211199999883623,0.6381557
88711,391,159.0,1,2,24.0,75.29993999999994,-0.0004223999997880886,0.60242695
88712,390,159.0,0,1,12.0,73.49774400000028,-0.00021120000046721544,0.59129596
88713,392,159.0,2,2,36.0,72.89676000000007,0.0005279999997299001,0.5835947
88714,398,159.0,2,0,36.0,77.899392,0.000211199999883623,0.47615018
88715,397,159.0,3,2,48.0,70.10074799999995,-5.2799999991748336e-05,0.4506294
88716,395,159.0,0,2,12.0,68.49511199999996,-0.0002111999999044656,0.4291497
88717,396,159.0,1,2,24.0,68.49518399999992,-0.0001055999999418115,0.42534196
88718,404,159.0,3,4,48.0,64.99990799999995,0.0,0.39361054
88719,403,159.0,1,4,24.0,68.49503999999999,0.00015839999993355985,0.25031075
88720,401,159.0,3,2,48.0,75.10323600000005,5.2799999825007644e-05,0.21794337
88721,399,159.0,2,4,36.0,64.99990799999995,1.4589810840940725e-13,0.21305525
88722,402,159.0,0,2,12.0,83.50264799999994,1.4589810840940725e-13,0.13829304
88723,400,159.0,1,4,24.0,73.497636,6.252776074688882e-14,0.08890748
88724,405,159.0,2,1,36.0,64.999908,-2.6399999995874168e-05,0.06499991
88725,407,159.0,3,2,48.0,65.12333400000001,-0.03685440000003458,0.018892922
88726,276,160.0,1,2,24.0,73.50048000000164,0.0,4.9951153
88727,281,160.0,1,2,24.0,73.49759999999996,0.005280000000738028,4.917337
88728,266,160.0,0,0,12.0,68.49972000000193,-0.0005280000061702594,4.9061847
88729,270,160.0,3,5,48.0,65.00051999999883,-0.0005279999967910953,4.8930483
88730,275,160.0,0,2,12.0,69.60239999999907,-0.0158399999975245,4.888686
88731,265,160.0,3,2,48.0,64.36439999999912,-0.15364799999943557,4.8610034
88732,293,160.0,0,3,12.0,83.50056000000023,-0.0010559999982717727,4.779299
88733,282,160.0,1,5,24.0,73.50012000000063,0.00158399999975245,4.7598023
88734,267,160.0,3,0,48.0,65.09916000000047,0.0,4.6481385
88735,269,160.0,3,2,48.0,65.08043999999913,-0.002639999998024223,4.6266837
88736,261,160.0,2,2,36.0,59.999759999999114,0.0005280000014806774,4.5865064
88737,279,160.0,0,2,12.0,68.5022399999994,-0.004223999997776673,4.558059
88738,294,160.0,1,1,24.0,80.00136000000033,-0.0010559999982717727,4.555045
88739,273,160.0,3,4,48.0,64.9994400000022,0.0010559999935821907,4.463327
88740,284,160.0,0,3,12.0,68.4986400000021,0.006335999994320218,4.434378
88741,286,160.0,0,2,12.0,68.45975999999858,0.01161600000443741,4.4097834
88742,298,160.0,3,2,48.0,65.10059999999811,-0.0026399999933346407,4.3979745
88743,287,160.0,3,4,48.0,64.69307999999998,1.2814560000013844,4.3889327
88744,289,160.0,0,3,12.0,68.49360000000075,0.0021120000012331275,4.384649
88745,280,160.0,3,1,48.0,64.75175999999827,0.31891200000330855,4.3565664
88746,296,160.0,0,2,12.0,70.14960000000201,-0.10084800000612404,4.3451514
